country,region,population,pop_density,infant_mortality,GDP_p_capita,literacy,climate,birthrate,deathrate
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,48.0,"163,07",700.0,36.0,1,46.6,20.34
Albania ,EASTERN EUROPE                     ,3581655,124.6,"21,52",4500.0,86.5,3,15.11,5.22
Algeria ,NORTHERN AFRICA                    ,32930091,13.8,31,6000.0,70.0,1,17.14,4.61
American Samoa ,OCEANIA                            ,57794,290.4,"9,27",8000.0,97.0,2,22.46,3.27
Andorra ,WESTERN EUROPE                     ,71201,152.1,"4,05",19000.0,100.0,3,8.71,6.25
Angola ,SUB-SAHARAN AFRICA                 ,12127071,9.7,"191,19",1900.0,42.0,,45.11,24.2
Anguilla ,LATIN AMER. & CARIB    ,13477,132.1,"21,03",8600.0,95.0,2,14.17,5.34
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,156.0,"19,46",11000.0,89.0,2,16.93,5.37
Argentina ,LATIN AMER. & CARIB    ,39921833,14.4,"15,18",11200.0,97.1,3,16.73,7.55
Armenia ,C.W. OF IND. STATES ,2976372,99.9,"23,28",3500.0,98.6,4,12.07,8.23
Aruba ,LATIN AMER. & CARIB    ,71891,372.5,"5,89",28000.0,97.0,2,11.03,6.68
Australia ,OCEANIA                            ,20264082,2.6,"4,69",29000.0,100.0,1,12.14,7.51
Austria ,WESTERN EUROPE                     ,8192880,97.7,"4,66",30000.0,98.0,3,8.74,9.76
Azerbaijan ,C.W. OF IND. STATES ,7961619,91.9,"81,74",3400.0,97.0,1,20.74,9.75
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,21.8,"25,21",16700.0,95.6,2,17.57,9.05
Bahrain ,NEAR EAST                          ,698585,1050.5,"17,27",16900.0,89.1,1,17.8,4.14
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,1023.4,"62,6",1900.0,43.1,2,29.8,8.27
Barbados ,LATIN AMER. & CARIB    ,279912,649.5,"12,5",15700.0,97.4,2,12.71,8.67
Belarus ,C.W. OF IND. STATES ,10293011,49.6,"13,37",6100.0,99.6,4,11.16,14.02
Belgium ,WESTERN EUROPE                     ,10379067,340.0,"4,68",29100.0,98.0,3,10.38,10.27
Belize ,LATIN AMER. & CARIB    ,287730,12.5,"25,69",4900.0,94.1,2,28.84,5.72
Benin ,SUB-SAHARAN AFRICA                 ,7862944,69.8,85,1100.0,40.9,2,38.85,12.22
Bermuda ,NORTHERN AMERICA                   ,65773,1241.0,"8,53",36000.0,98.0,2,11.4,7.74
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,48.5,"100,44",1300.0,42.2,2,33.65,12.7
Bolivia ,LATIN AMER. & CARIB    ,8989046,8.2,"53,11",2400.0,87.2,"1,5",23.3,7.53
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,88.0,"21,05",6100.0,,4,8.77,8.27
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,2.7,"54,58",9000.0,79.8,1,23.08,29.5
